motifs,time
K,1.333332
O,1.333332
O,1.333332
N,1.333332
H,1.333332
I,1.336804
L,1.340276
I,1.499998
N,1.499998
L,1.503471
E,1.506943
F,1.583332
B,1.586804
H,1.590276
G,1.666665
O,1.666665
N,1.666665
N,1.666665
B,1.670137
F,1.670137
B,1.673609
I,1.833332
L,1.833332
O,1.833332
P,1.833332
O,1.836804
L,1.840276
I,1.999998
O,1.999998
M,2.166664
N,2.333331
B,2.333331
L,2.333331
N,2.336803
G,2.499998
N,2.499998
L,2.50347
E,2.506942
F,2.583331
B,2.586803
H,2.590275
G,2.666664
L,2.666664
O,2.666664
P,2.666664
O,2.670136
L,2.673608
I,2.83333
N,2.83333
L,2.836803
E,2.840275
F,2.916664
B,2.920136
H,2.923608
G,2.999997
O,2.999997
N,2.999997
N,2.999997
B,3.003469
F,3.003469
B,3.006941
I,3.166664
L,3.166664
O,3.166664
P,3.166664
O,3.170136
L,3.173608
I,3.33333
N,3.499996
B,3.499996
N,3.58333
B,3.666663
N,3.666663
G,3.666663
N,3.666663
N,3.670135
I,3.83333
N,3.83333
L,3.836802
E,3.840274
E,3.840274
F,3.840274
A,3.899302
B,3.899302
P,3.947913
P,3.947913
M,3.989579
N,3.989579
B,3.993052
G,3.993052
O,3.999996
N,3.999996
K,3.999996
O,3.999996
O,3.999996
N,3.999996
H,3.999996
I,4.003468
L,4.00694
E,4.00694
G,4.00694
P,4.020829
N,4.020829
B,4.020829
M,4.020829
N,4.138885
B,4.138885
O,4.166662
N,4.166662
L,4.170135
E,4.173607
F,4.249996
B,4.253468
H,4.25694
I,4.277774
K,4.277774
M,4.277774
N,4.277774
A,4.315968
B,4.315968
O,4.333329
N,4.333329
N,4.333329
N,4.333329
B,4.336801
F,4.336801
B,4.336801
F,4.336801
B,4.336801
M,4.336801
L,4.340273
C,4.368051
G,4.368051
O,4.499996
L,4.499996
O,4.499996
P,4.499996
O,4.503468
L,4.50694
I,4.666662
O,4.666662
N,4.736106
N,4.736106
A,4.753467
B,4.753467
M,4.763884
M,4.763884
N,4.815967
N,4.815967
A,4.826384
B,4.826384
O,4.833328
N,4.840273
L,4.840273
M,4.979162
N,4.979162
A,4.993051
B,4.993051
O,4.999995
N,4.999995
L,4.999995
N,5.003467
